aX,aY,aZ,gX,gY,gZ
0.511,0.133,0.716,-48.828,5.310,13.977
0.493,0.092,0.740,-39.917,3.723,6.897
0.497,0.047,0.720,-24.231,-0.488,3.174
0.504,-0.000,0.742,-2.686,-4.944,3.723
0.521,-0.066,0.720,19.470,-13.428,7.446
0.512,-0.070,0.766,-0.183,-20.813,16.357
0.501,-0.073,0.826,-26.733,-25.391,25.085
0.507,-0.088,0.808,-28.625,-25.635,31.311
0.494,-0.063,0.682,-35.278,-21.057,38.147
0.475,-0.041,0.674,-77.454,-23.010,46.570
0.481,-0.039,0.681,-101.440,-32.776,52.917
0.447,-0.025,0.678,-126.099,-40.161,61.707
0.405,-0.002,0.757,-159.302,-48.035,71.167
0.400,0.013,0.801,-153.198,-57.190,78.918
0.391,0.047,0.831,-137.268,-59.631,87.036
0.394,0.087,0.812,-127.625,-57.251,95.642
0.376,0.106,0.746,-131.348,-54.749,105.042
0.346,0.102,0.740,-149.597,-55.847,116.028
0.305,0.071,0.749,-170.044,-56.152,128.296
0.277,0.048,0.785,-189.819,-57.495,146.179
0.233,0.096,0.845,-202.332,-59.265,166.870
0.223,0.173,0.896,-199.158,-56.458,184.570
0.221,0.299,0.953,-161.682,-49.744,197.510
0.225,0.431,0.924,-96.985,-39.063,207.275
0.208,0.551,0.851,-38.025,-25.696,212.219
0.176,0.645,0.788,-6.287,-14.099,210.937
0.164,0.693,0.729,6.409,-7.324,202.637
0.146,0.685,0.695,7.385,-8.789,188.721
0.131,0.607,0.728,-12.451,-17.700,169.495
0.104,0.524,0.835,-59.875,-26.550,148.987
0.080,0.470,0.929,-73.303,-30.212,130.188
0.045,0.455,0.940,-31.982,-25.208,119.507
-0.008,0.512,0.879,25.940,-11.475,119.446
-0.022,0.589,0.732,79.041,4.272,127.625
-0.040,0.669,0.581,103.333,14.404,136.658
-0.053,0.750,0.461,96.497,10.071,139.221
-0.061,0.826,0.387,64.270,-5.676,134.338
-0.120,0.864,0.431,13.123,-27.466,123.840
-0.133,0.873,0.517,-23.193,-53.284,106.323
-0.128,2.438,3.778,38.635,-56.824,68.176
-0.208,0.615,1.473,328.186,81.238,-52.063
-0.470,0.448,1.118,178.894,126.648,-90.881
-0.098,0.528,0.764,80.139,71.289,-96.924
-0.070,0.563,0.593,-6.775,42.847,-99.426
-0.128,0.409,0.585,-11.230,28.015,-101.440
-0.045,0.388,0.620,7.935,21.118,-103.882
-0.038,0.329,0.619,9.888,17.578,-84.900
0.182,0.267,0.643,15.198,10.254,-63.965
