aX,aY,aZ,gX,gY,gZ
0.497,-0.501,0.722,0.488,-1.526,-14.282
0.488,-0.501,0.701,11.169,-0.183,-12.512
0.474,-0.509,0.693,19.348,-1.648,-11.169
0.479,-0.509,0.676,30.151,-2.197,-11.169
0.485,-0.505,0.668,34.363,-1.892,-10.620
0.484,-0.506,0.661,30.151,-2.197,-8.972
0.477,-0.517,0.645,19.165,-2.563,-5.981
0.473,-0.547,0.652,3.601,-2.136,-1.404
0.454,-0.564,0.702,-7.141,0.549,3.723
0.437,-0.611,0.689,-3.906,4.333,6.897
0.428,-0.597,0.700,3.967,6.409,9.033
0.431,-0.564,0.706,20.691,9.216,9.094
0.416,-0.611,0.653,34.424,11.475,10.620
0.385,-0.764,0.675,28.442,12.146,21.118
0.338,-0.964,0.755,30.945,19.653,41.870
0.320,-1.083,0.901,54.016,33.203,64.819
0.327,-1.246,1.051,65.491,41.870,82.092
0.345,-1.432,1.140,52.856,45.715,90.454
0.348,-1.701,1.257,29.236,47.729,83.862
0.379,-1.832,1.255,9.521,48.828,71.472
0.276,-1.891,1.243,-10.620,44.250,55.603
0.155,-1.842,1.313,-14.099,44.861,39.917
-0.043,-1.671,1.324,-43.030,44.373,26.184
-0.204,-1.478,1.274,-75.928,37.598,19.226
-0.315,-1.367,1.166,-97.046,30.762,25.391
-0.493,-1.211,1.010,-125.977,26.672,57.495
-0.706,-1.026,0.849,-161.255,28.503,106.201
-0.852,-0.750,0.655,-190.857,41.809,146.484
-0.871,-0.540,0.471,-216.064,65.796,174.438
-0.828,-0.422,0.283,-238.098,93.628,206.787
-0.594,-0.424,0.446,-257.263,123.047,239.563
-0.273,-0.311,0.232,-244.568,149.109,260.254
-0.114,-0.154,0.105,-263.184,143.921,273.743
0.059,-0.385,0.102,-322.876,141.541,291.443
0.018,-0.335,-0.190,-388.916,158.508,342.468
0.114,-0.150,-0.639,-355.530,156.555,311.951
0.446,0.354,-0.945,-256.470,148.560,194.885
0.807,1.058,-0.940,-142.456,147.156,25.696
1.058,1.706,-0.878,-41.748,156.738,-57.190
1.086,2.317,-1.064,19.531,162.842,-32.593
1.119,2.712,-1.205,50.720,147.522,-20.142
1.147,2.734,-1.122,8.240,138.733,31.311
1.255,2.564,-0.906,-93.567,146.606,114.258
1.443,2.142,-0.537,-174.988,149.780,160.217
1.612,1.552,-0.107,-202.454,139.954,175.659
1.669,1.018,0.135,-197.632,131.042,166.016
1.599,0.701,0.268,-170.776,114.197,108.643
1.598,0.642,0.440,-99.060,90.149,5.249
1.536,0.760,0.530,-14.038,69.397,-94.543
1.384,0.945,0.495,15.808,52.979,-141.418
1.111,1.052,0.360,10.742,33.081,-141.907
0.921,0.894,0.272,-11.292,18.555,-114.746
0.777,0.640,0.144,2.747,8.606,-72.083
0.605,0.477,0.100,29.419,0.000,-27.954
0.586,0.272,0.003,39.124,-15.320,8.179
0.642,0.177,0.031,38.269,-26.855,35.583
0.726,0.130,0.096,24.841,-31.250,50.537
0.807,0.101,0.159,11.963,-30.457,51.636
0.844,0.128,0.209,1.343,-26.428,46.082
0.853,0.143,0.212,-15.991,-23.254,35.217
0.846,0.150,0.244,-40.894,-20.447,21.606
0.841,0.182,0.275,-52.979,-14.832,9.888
0.819,0.222,0.282,-42.236,-7.141,-1.160
0.830,0.289,0.275,-24.414,-4.150,-14.954
0.862,0.377,0.220,-12.573,-7.629,-23.682
0.874,0.401,0.195,-5.920,-12.207,-23.010
0.863,0.403,0.192,15.503,-15.381,-18.127
0.862,0.418,0.264,33.997,-19.653,-11.353
0.853,0.379,0.268,42.175,-25.574,-0.854
0.820,0.304,0.237,47.241,-31.433,7.812
0.817,0.233,0.234,44.067,-32.959,16.357
0.823,0.208,0.224,31.372,-30.396,20.508
0.828,0.187,0.255,14.954,-25.696,15.930
0.838,0.193,0.250,4.517,-21.729,4.883
0.861,0.258,0.264,1.282,-17.456,-5.981
0.891,0.339,0.306,-7.629,-12.085,-16.785
0.891,0.472,0.319,-16.602,-9.155,-27.344
0.918,0.517,0.338,-22.949,-9.583,-35.461
0.962,0.544,0.276,-16.968,-14.893,-37.964
0.999,0.565,0.247,-0.854,-20.325,-34.790
1.006,0.559,0.234,9.827,-23.682,-27.954
0.985,0.520,0.292,12.268,-26.611,-20.081
0.924,0.508,0.327,9.033,-31.555,-14.160
0.874,0.483,0.302,1.160,-37.231,-9.277
0.855,0.410,0.257,-4.395,-42.053,-6.653
0.849,0.375,0.245,-2.380,-43.030,-8.118
0.851,0.382,0.272,-4.822,-41.931,-15.076
0.853,0.407,0.268,-5.249,-41.504,-27.771
0.881,0.443,0.298,0.183,-42.114,-43.152
0.915,0.488,0.319,10.193,-40.100,-59.082
0.983,0.468,0.354,15.137,-38.391,-70.984
1.002,0.417,0.392,6.897,-38.086,-72.571
0.985,0.344,0.397,-10.559,-35.645,-64.819
0.932,0.255,0.394,-25.635,-34.790,-52.063
0.848,0.190,0.384,-21.362,-37.598,-37.598
0.743,0.191,0.367,4.944,-45.288,-25.330
0.703,0.212,0.331,28.442,-54.260,-16.968
0.686,0.256,0.278,42.419,-60.425,-16.907
0.674,0.353,0.265,60.669,-62.988,-25.513
0.704,0.411,0.266,73.181,-63.538,-39.978
0.740,0.437,0.255,71.106,-62.134,-52.246
0.798,0.398,0.283,72.388,-58.044,-61.951
0.854,0.340,0.370,74.036,-51.819,-70.129
0.868,0.244,0.488,65.491,-43.701,-74.280
0.840,0.172,0.610,46.570,-37.842,-71.655
0.785,0.117,0.645,26.917,-39.063,-59.814
0.722,0.099,0.616,13.000,-44.250,-47.058
0.678,0.079,0.553,4.272,-51.025,-43.274
0.666,0.109,0.490,-5.920,-58.716,-47.729
0.710,0.132,0.443,-16.357,-66.895,-57.251
0.755,0.173,0.362,-18.738,-74.402,-62.988
0.774,0.206,0.391,-14.465,-77.881,-61.768
0.793,0.183,0.473,-4.822,-74.890,-57.312
0.782,0.076,0.531,-5.493,-69.031,-51.880
0.747,-0.009,0.628,-22.522,-62.927,-42.480
0.712,-0.036,0.687,-28.198,-57.068,-35.950
0.678,-0.015,0.744,-22.095,-53.589,-37.109
0.657,0.026,0.764,-1.892,-53.589,-45.837
0.652,0.070,0.770,18.738,-55.176,-52.673

0.481,-0.153,0.804,8.179,-0.366,1.648
0.483,-0.155,0.810,7.385,0.732,3.174
0.481,-0.163,0.810,5.188,0.916,3.967
0.479,-0.165,0.815,4.883,0.732,3.540
0.475,-0.158,0.832,5.676,0.916,2.136
0.474,-0.152,0.832,7.141,0.854,0.977
0.474,-0.151,0.825,9.094,0.305,0.244
0.469,-0.149,0.819,8.728,-0.671,0.061
0.472,-0.156,0.815,10.620,-1.160,-0.671
0.471,-0.146,0.798,12.085,-1.587,-0.488
0.467,-0.150,0.792,13.489,-0.977,0.427
0.453,-0.154,0.811,16.602,1.099,1.587
0.454,-0.183,0.798,24.597,3.479,2.563
0.497,-0.248,0.881,23.743,4.822,5.737
0.402,-0.208,0.984,27.710,9.521,7.446
0.383,-0.328,1.036,39.551,17.029,7.385
0.331,-0.493,1.183,34.363,17.944,17.944
0.260,-0.731,1.314,39.368,19.714,35.889
0.223,-1.036,1.537,41.992,26.794,54.138
0.245,-1.307,1.787,35.889,34.912,71.960
0.253,-1.369,1.970,34.302,39.917,81.787
0.109,-1.337,2.042,19.104,32.104,80.444
-0.130,-1.330,1.973,-3.845,21.851,77.087
-0.385,-1.303,1.815,-26.489,16.541,88.074
-0.816,-1.281,1.599,-55.786,20.142,110.779
-1.221,-1.285,1.349,-84.900,29.541,129.150
-1.473,-1.329,1.073,-118.530,41.931,137.817
-1.546,-1.374,0.820,-156.189,66.833,134.888
-1.329,-1.335,0.494,-175.232,93.262,123.901
-0.736,-0.974,0.256,-181.946,122.009,109.558
0.021,-0.306,0.026,-172.058,155.334,93.140
0.601,0.274,-0.111,-162.781,164.185,96.497
0.856,0.483,-0.136,-188.843,192.200,154.419
0.951,0.457,-0.157,-258.362,250.061,243.958
1.132,-0.035,-0.409,-293.457,297.852,295.532
1.145,-0.308,-0.635,-317.200,292.786,299.744
1.402,-0.079,-0.836,-289.490,246.704,229.614
1.601,0.397,-1.052,-163.147,190.491,77.576
1.659,0.798,-1.273,-22.278,154.541,-74.158
1.428,1.470,-1.339,15.381,143.799,-178.650
1.046,1.939,-1.358,10.803,137.329,-216.736
0.776,2.520,-1.361,27.039,161.987,-100.464
0.848,2.644,-0.857,11.169,180.237,-65.125
0.919,2.485,-0.310,-22.034,184.509,-28.564
0.938,2.095,-0.261,-65.063,162.476,38.269
1.043,1.458,-0.233,-97.290,128.357,82.703
1.208,0.629,-0.213,-97.839,99.243,98.633
